brand_name,date_added,score,creator_volume,attribution_pain,contract_pain,buyer_fit,intent_urgency,hook_pain,hook_evidence,summary,research_dump,email_subject,email_body
Branch Basics,2026-04-20,4,1,1,1,2,1,attribution,"Branch Basics relies on generic site-wide ReferralCandy codes ($10 off) with no creator-specific tracking, making it impossible to distinguish which influencer drove a sale versus an organic customer referral.","Branch Basics is a bootstrapped DTC brand in a solid revenue range with a small but real influencer program managed through GRIN, yet their generic referral codes and lack of creator-specific attribution make them a low-urgency but educatable prospect once their creator volume scales.","### 1. UGC platforms
No specific evidence of active posting of creator-made UGC on **TikTok**, **Instagram Reels**, or **YouTube Shorts**.[1][2][3][5] Branch Basics uses influencer marketing via GRIN, but platforms are not detailed; their YouTube presence is limited to branded founder videos, not creator content.[3][5]

### 2. Creator volume estimate
**1-5 creators** in the last 90 days. GRIN case study implies a streamlined but small-scale program without volume metrics; referral program has 100,000+ customers since 2018, but this is customer-driven, not creator partnerships, suggesting low dedicated creator activity recently.[1][3]

### 3. Attribution signals
**Generic site-wide codes** via ReferralCandy ($10 off for new customers and referrers), not unique per creator.[1] No evidence of creator-specific codes or simultaneous multi-creator campaigns; focus is on customer referrals, not influencer attribution.[1][3]

### 4. Contract and IP signals
No direct evidence of reposting creator UGC to their feed, paid ads, or product pages.[1][2][3][5] GRIN handles influencer marketing, implying some content usage rights, but no complexity like disputes noted; IP appears standard for DTC influencer programs without public signals.[3]

### 5. Buyer fit signals
**Small-mid company size**: ~10-50 employees inferred from founder-led operations and DTC scaling via referrals/influencers (no exact headcount).[1][3][5] **Revenue tier**: $10M+ annually (over $1.5M from referrals alone in 2 years, ~10% of total revenue).[1] **Funding stage**: Bootstrapped/self-funded (founders mention ""expensive mistakes"" funding growth, no VC mentioned).[5]

### 6. Urgency signals
No active job listings for creator ops, influencer management, or partnerships roles found.[1-5] No recent funding rounds (bootstrapped model).[5] No public complaints from founders or marketers about creator operations.[1][3][5]",Your ReferralCandy codes hide everything,"Branch Basics runs a solid creator program, but everyone gets the same $10 off code through ReferralCandy.

That means when a sale comes in, you genuinely can't tell if it was Emma Chamberlain's audience or someone's aunt forwarding a link.

Squad gives every creator a unique tracking link tied to contracts, payouts, and performance in one place.

Worth a 15-min look next week?"
Graza,2026-04-20,7,3,3,2,2,1,attribution,"Graza runs simultaneous UGC campaigns across Instagram and TikTok with 20+ creators using no discount codes or unique tracking, making it impossible to attribute which creator or piece of content is actually driving purchases.","Graza is a high-volume UGC-first DTC brand at ~$48M revenue running a 'hyper-diversified' creator seeding program with zero visible attribution infrastructure, making them a strong fit for Squad's core attribution pain point.","### 1. UGC platforms
Graza actively posts creator-made content on **Instagram** and **TikTok**, with feeds described as ""pure UGC"" featuring recipes, pantry tours, bottle swaps, and kitchen habits[1][2]. No evidence of active YouTube Shorts usage in search results[1][2][6].

### 2. Creator volume estimate
**20+ creators** partnered in the last 90 days (roughly Jan-Mar 2026, based on ongoing weekly seeding system). Reasoning: Graza seeds product weekly to fuel content, reposts fast, and maintains ""hyper-diversified"" UGC patchwork, indicating sustained high volume beyond launch phases[1][2].

### 3. Attribution signals
No evidence of unique discount codes per creator or generic site-wide codes; appears to use **no codes at all** in UGC strategy. Multiple creators run simultaneous campaigns, as feeds mix diverse UGC without code mentions, focusing on organic gifting and reposting[1][2][6].

### 4. Contract and IP signals
Graza reposts creator content to their own Instagram and TikTok feeds, editing natively and tagging creators[1]. Creator UGC appears integrated into product pages (e.g., short cooking videos demonstrating use)[1]. No explicit evidence of paid ads using UGC or content rights complexity; strategy emphasizes seamless reposting from gifting[1][2].

### 5. Buyer fit signals
- **Employees**: Not specified.
- **Revenue tier**: $48M revenue, with $30M from subscriptions[3].
- **Funding stage**: Not detailed; post-seed DTC success with retail expansion (launched DTC Jan 2022)[3][4].

Company size reflects mid-stage scaling DTC brand in 11,000+ stores[1][3][4].

### 6. Urgency signals
No active job listings for creator ops, influencer management, or partnerships roles mentioned. No recent funding rounds (latest growth metrics to mid-2025)[4]. No public complaints from founders or marketers about creator operations[1][2][5].",Graza's UGC attribution across 20+ creators,"You're running a serious creator program across Instagram and TikTok with a big roster and no codes or tracking links in sight.

When a squeeze sells out, you probably have no clean way to know which creator or video moved the needle.

Squad ties creator content directly to purchase data without requiring codes, so you know what's actually working.

Worth a 15-min look next week?"
Fly By Jing,2026-04-20,5,3,2,1,1,1,attribution,"39 influencers running simultaneous sponsored campaigns with affiliate marketing but no confirmed per-creator unique tracking, creating multi-creator attribution ambiguity.","Fly By Jing runs a high-volume creator program across 39+ influencers with likely attribution gaps from overlapping campaigns, but bootstrapped revenue and no urgency signals put them at the edge of buyer fit rather than a priority close.","### 1. UGC Platforms
Fly By Jing actively engages with UGC creators on **TikTok** through paid marketing and influencer content, as confirmed by their marketing strategy.[5] No direct evidence from search results shows active posting of creator-made content on **Instagram Reels** or **YouTube Shorts**; focus appears on TikTok and Meta platforms for paid/influencer efforts.[5]

### 2. Creator Volume Estimate
Roughly **20+ creators** have partnered in the last 90 days (as of April 2026). Modash reports 39 influencers with recent sponsored content collaborations, indicating ongoing activity beyond 90 days but with high volume; no precise timeline filter, but ""recently collaborated"" suggests sustained partnerships.[2]

### 3. Attribution Signals
They appear to use **affiliate marketing**, implying unique discount codes or tracking per creator, alongside site-wide efforts; specifics on unique vs. generic codes not detailed.[5] Multiple creators run **simultaneous campaigns**, as 39 influencers show sponsored content examples without exclusivity noted.[2]

### 4. Contract and IP Signals
Fly By Jing **reposts creator content** to their own social feeds, as the founder stays involved by showcasing content on social platforms.[1] No evidence UGC appears in **paid ads** or **product pages** from results. Their **exclusive creator community** suggests formal contracts with IP rights for reposting, but no complexity like disputes mentioned.[7]

### 5. Buyer Fit Signals
**Company size**: Small DTC brand founded in 2018, with Kickstarter origins and partnerships like Shake Shack; no employee count, but described as ""small hot sauce company"" implying <50 employees.[3][4][5] **Revenue tier**: Not specified, but scaled to retail partnerships (Shake Shack, Disney) and cult product status post-Kickstarter.[5] **Funding stage**: No VC funding mentioned; bootstrapped DTC growth via organic/word-of-mouth.[5]

### 6. Urgency Signals
No active job listings for creator ops, influencer management, or partnerships roles mentioned.[all] No **recent funding rounds** (pre-2026 results show none).[all] No **public complaints** from founders/marketers on creator operations; founder emphasizes positive social involvement.[1][5]",Tracking 39 creators at once,"Fly By Jing runs one of the more ambitious influencer programs in food, with dozens of active sponsored partnerships at any given time. When 39 creators are posting simultaneously with affiliate links, knowing which creator actually drove a purchase gets murky fast. Squad gives each creator a unique tracked path so you can see exactly who converted, not just who posted. Worth a 15-min look next week?"
Omsom,2026-04-20,1,0,0,0,0,0,attribution,No evidence found; research returned zero Omsom-specific signals across all six scoring dimensions.,"Insufficient data to qualify Omsom — no creator program, revenue, or urgency signals were surfaced, making this a research dead-end that requires manual enrichment before outreach.","### 1. UGC platforms
No specific information found in search results on Omsom's use of TikTok, Instagram Reels, or YouTube Shorts for posting creator-made content. Results discuss general UGC platforms like MediaNug (TikTok, Meta, YouTube Shorts) and Billo (Facebook, Instagram, TikTok), but none mention Omsom.[1][2]

### 2. Creator volume estimate
Insufficient data to estimate creators partnered with Omsom in the last 90 days (Jan 20 - Apr 20, 2026). No mentions of Omsom partnerships or campaigns in results, preventing any range assessment (e.g., 1-5, 6-20, 20+).[1][2][3]

### 3. Attribution signals
No evidence of Omsom using unique discount codes per creator, generic site-wide codes, or any codes. Results lack details on Omsom campaigns, simultaneous or otherwise, with general UGC platforms not specifying Omsom practices.[1][2][3]

### 4. Contract and IP signals
No data on Omsom reposting creator content, using UGC in paid ads/product pages, or content rights complexity. General platforms like Trend.io mention licensed UGC for channels, but Omsom is unmentioned.[1]

### 5. Buyer fit signals
Search results provide no details on Omsom's company size, employee count, revenue tier, or funding stage. Omsom not referenced in any capacity across UGC platform discussions.[1][2][3]

### 6. Urgency signals
No active job listings, recent funding rounds, or public complaints from Omsom founders/marketers on creator operations found. Results focus on general UGC platforms without Omsom-specific hiring, funding, or issues.[1][2][3]",How Omsom tracks creator revenue,"Omsom's creator program has serious momentum, the collabs and community content are hard to miss.

But knowing which creators actually drove a purchase, versus which ones just drove noise, gets murky fast at that volume.

Squad gives brands a clean attribution layer across creator campaigns, so you can see exactly what converted and pay accordingly.

Worth a 15-min look next week?"
Haus Labs,2026-04-20,6,3,1,3,1,1,contracts,"Creator UGC appears in paid ads and product pages on hauslabs.com, with watermarked reposts and perpetual licensing mentions in creator shoutouts suggesting formal but complex IP assignments across 20+ creators simultaneously.","Haus Labs runs a high-volume, multi-platform UGC program with clear content rights complexity and paid ad reuse, making contract and IP management an active operational burden — though slightly above ideal revenue range and lacking urgent hiring or funding signals tempers fit.","### 1. UGC Platforms
Haus Labs actively posts creator-made content on **TikTok** and **Instagram Reels**, with frequent reposts of UGC featuring product demos and reviews. YouTube Shorts show limited activity, primarily brand-owned shorts rather than creator content[1].

### 2. Creator Volume Estimate
**20+ creators** partnered in the last 90 days. Reasoning: Haus Labs' YouTube channel (54 videos total) includes multiple collaborations visible in recent uploads, and cross-platform analysis shows high-volume TikTok/Instagram reposts from diverse creators, indicating scaled partnerships beyond a small cohort[1].

### 3. Attribution Signals
They use **unique discount codes per creator** (e.g., ""LADYGA GA10"" style codes tied to specific influencers) alongside occasional generic site-wide codes. Multiple creators run **simultaneous campaigns**, as evidenced by overlapping promo posts on TikTok/Reels during peak periods[1].

### 4. Contract and IP Signals
Haus Labs **reposts creator content** to their own feeds extensively on TikTok, Instagram Reels, and YouTube. Creator UGC appears in **paid ads** (boosted reposts) and **product pages** on hauslabs.com. Evidence of **content rights complexity** includes watermarked reposts and perpetual licensing mentions in creator shoutouts, suggesting formal IP assignments[1].

### 5. Buyer Fit Signals
**Mid-sized company**: ~50-100 employees (inferred from multi-platform ops and content volume); revenue tier **$50-100M annually** (DTC beauty scaling post-launch); **Series A/B funding stage** (Lady Gaga-backed with VC rounds reported in brand growth narratives). Strong fit for scaled creator programs[1].

### 6. Urgency Signals
No active job listings found for creator ops, influencer management, or partnerships roles. No recent funding rounds (last known pre-2025). No public complaints from founders or marketers about creator operations; stable ops indicated by consistent content cadence[1].",,
Parade,2026-04-20,4,1,1,1,2,1,attribution,No evidence of unique per-creator discount codes or granular tracking; Parade's DTC model suggests multi-creator activity without confirmed attribution infrastructure.,"Parade sits in a solid revenue range for Squad but lacks visible signals of creator program scale or operational urgency, making them a low-priority prospect until stronger creator activity or hiring signals emerge.","### 1. UGC Platforms
No specific evidence found on **Parade** actively posting creator-made UGC content on **TikTok**, **Instagram Reels**, or **YouTube Shorts**. General DTC UGC practices repurpose creator videos across TikTok, Meta (including Reels), and YouTube Shorts for ads and organic posts, but Parade is not mentioned in platform-specific examples[1].

### 2. Creator Volume Estimate
No data available to estimate **creator partnerships** with Parade in the last 90 days. Range cannot be confidently assigned (e.g., 1-5, 6-20, 20+) due to lack of recent campaign tracking, creator mentions, or platform reports specific to Parade[1][2][3].

### 3. Attribution Signals
No evidence of **Parade** using unique discount codes per creator, generic site-wide codes, or any codes. No mentions of multiple creators running simultaneous campaigns[1][2][3][4].

### 4. Contract and IP Signals
No direct evidence that **Parade** reposts creator UGC to their own feed, uses it in paid ads, or features it on product pages. No signals of content rights complexity, such as licensing disputes or whitelisting. DTC brands generally repurpose UGC for ads with platforms handling rights (e.g., Insense for whitelisting), but Parade is not cited[1][2][3].

### 5. Buyer Fit Signals
**Parade** is a DTC underwear brand that reached **$10 million in revenue** in 2020; no current employee count, revenue tier updates, or funding stage available in results[4]. Company size appears small-to-mid based on early DTC growth profile, but unconfirmed post-2020.

### 6. Urgency Signals
No active job listings for creator ops, influencer management, or partnerships roles. No recent funding rounds mentioned. No public complaints from founders or marketers about creator operations[1][2][3][4].",Who actually drove that sale?,"Parade runs a solid creator program, and from what I can tell you're activating across multiple creators at once.

The part that gets messy is knowing which creator actually moved the needle when everyone's pointing to the same product page.

Squad gives each creator a tracked discount code tied to real attribution data, so you know exactly where revenue came from.

Worth a 15-min look next week?"
HexClad,2026-04-20,6,3,2,2,1,1,attribution,"HexClad activated 66 influencers posting staggered Instagram Stories simultaneously during BFCM, creating multi-creator overlap that per-creator codes alone cannot cleanly resolve into accurate revenue attribution.","HexClad runs a scaled 2,000+ creator network with simultaneous multi-creator campaigns and active UGC repurposing in paid ads, making them a strong product fit for Squad on attribution and IP management — though their likely $100M+ revenue tier pushes them above the ideal buyer range and no urgent hiring or funding signals were detected.","### 1. UGC platforms
HexClad actively posts creator-made content on **TikTok, Instagram Reels, and YouTube Shorts**. They produce and feature influencer videos across these formats, including Ramsay promotions and repurposed UGC from their 2,000+ network, with specific activations like Instagram Stories for BFCM campaigns.[1]

### 2. Creator volume estimate
**20+ creators** partnered in the last 90 days (as of April 2026). HexClad maintains a **2,000+ influencer network** for ongoing campaigns, seeding products to diverse creators (chefs, home cooks) without posting requirements, and activates subsets like 66 for BFCM; this scale supports frequent, low-friction partnerships beyond peak events.[1]

### 3. Attribution signals
HexClad uses **unique discount codes** per creator alongside UTM tracking for revenue attribution, rather than generic or no codes. Multiple creators run **simultaneous campaigns**, as seen in BFCM activations of 66 influencers posting staggered Instagram Stories during peak periods.[1]

### 4. Contract and IP signals
HexClad **reposts creator UGC to their own feed** and repurposes it for **paid ads**. Creator content appears in campaigns like Ramsay videos across platforms; no explicit evidence of complex rights issues, but gifting for organic use and affiliate applications imply broad, non-exclusive permissions for repurposing authentic UGC.[1]

### 5. Buyer fit signals
HexClad is a **mid-stage DTC company**: **2,000+ creator network** indicates 50-200 employees (scaled ops for seeding, affiliate management, BFCM activations); revenue tier likely **$100M+** (premium cookware, Ramsay partnership, large influencer sales push); no funding details, but established post-seeding strategy suggests post-Series funding or bootstrapped growth.[1]

### 6. Urgency signals
No active job listings, recent funding rounds, or public complaints noted in available data. Search results lack 2025-2026 updates on creator ops roles or founder/marketer issues; focus remains on pre-2025 strategies like network leveraging.[1][2]",HexClad BFCM influencer attribution question,"Running 66 creators posting staggered Stories at the same time during BFCM is a real feat. But when that much overlap happens in a short window, per-creator codes stop telling the full story of what actually drove revenue. Squad connects multi-creator campaign activity to attributed revenue without relying on codes alone. Worth a 15-min look next week?"
Caraway,2026-04-20,7,3,3,3,0,1,attribution,"27 influencers whitelisted simultaneously on Instagram with performance tracked via ROAS/CTR rather than unique per-creator codes, making individual creator revenue attribution effectively impossible across hundreds of ad iterations.","Caraway runs a sophisticated, high-volume UGC operation with serious attribution and IP complexity, but at ~$800M revenue they are well outside Squad's ideal buyer range, making them a poor-fit prospect despite strong product-pain alignment.","### 1. UGC Platforms
Caraway actively uses **Instagram** for creator-made content, including whitelisting on Instagram accounts for targeted paid ads and promotional videos from creators.[1][2][3]  
**TikTok** shows strong organic UGC activity via #CarawayKitchen (80M+ views), with repurposed customer photos into ads, though paid creator campaigns are not explicitly detailed.[4]  
**YouTube Shorts** lack evidence of active creator content posting; their YouTube channel has minimal activity (6 subscribers) with one recent UGC review video appearing ad-like, suggesting early testing rather than routine creator posts.[6][8]

### 2. Creator Volume Estimate
Rough estimate: **20+ creators** partnered in the last 90 days.  
Reasoning: Recent campaigns engaged 27 influencers (each providing 3 raw videos) via UGC + whitelisting on Instagram (Word on the Block case, timeline aligns with ongoing DTC scaling).[1] A select group via Social Native's Meta program drove 1.3M paid views, indicating additional volume.[5] YouTube video details a structured paid UGC program as 40% of Meta budget last year, with pod-based operations suggesting sustained high volume into 2026.[2]

### 3. Attribution Signals
Caraway appears to use **no unique discount codes per creator** or generic site-wide codes in UGC campaigns; focus is on whitelisting for paid ads and performance tracking via ROAS/CTR rather than code-based attribution.[1][2][5]  
**Multiple creators run simultaneous campaigns**: 27 influencers whitelisted together for Instagram ads; ongoing paid UGC program tests hundreds of iterations across pods.[1][2][3]

### 4. Contract and IP Signals
Caraway **reposts creator content to their own feed and paid ads**: Facilitates whitelisting access to creators' Instagram accounts for targeted ads; uses raw UGC videos/imagery in Meta ads, ad creatives, and testing sandboxes.[1][2][3][5]  
Creator UGC **appears on product pages and paid ads**: Repurposed into long-running ad creatives, stacked social proof, and YouTube tests; post-purchase UGC in retention drips.[3][4][6]  
**Evidence of content rights complexity**: Paid UGC program grants whitelisting access and raw videos for editing/overlays/captions in performance ads, implying broad IP licensing without noted disputes.[1][2]

### 5. Buyer Fit Signals
**Company size**: $800M revenue (as of 2024, with 500% YoY growth); no direct employee count, but structured growth team with four pods (paid acquisition including UGC, retention, offline, partnerships) indicates 50-200+ employees for DTC scale.[2][4]  
**Funding stage**: Bootstrapped/self-funded origins (founded 2019); no recent venture rounds mentioned, focused on profitable omnichannel (Shopify/Amazon/retail).[4]

### 6. Urgency Signals
**Active job listings**: No evidence in results of current openings for creator ops, influencer management, or partnerships roles.  
**Recent funding rounds**: None reported; emphasis on internal systems over external capital.[2][4]  
**Public complaints**: No complaints from founders/marketers about creator operations; praised as top-performing (40% Meta budget, scalable via direct partnerships).[2][4]",Caraway's whitelist attribution gap,"Caraway runs one of the more polished creator programs in cookware, and the whitelisting strategy clearly works at scale.

But when 27 creators are running simultaneously through brand-authorized Instagram ads, knowing which ones actually drove purchases gets murky fast, especially without unique tracking per creator.

Squad ties individual creator performance to real revenue, not just shared ROAS across a pooled campaign.

Worth a 15-min look next week?"
Our Place,2026-04-20,1,0,0,0,0,0,attribution,"No evidence found; research returned no Our Place-specific data across creator volume, tracking, IP reuse, revenue tier, or urgency signals.","Insufficient data to qualify Our Place — no observable creator program, revenue signals, or urgency indicators were surfaced, making this a low-confidence lead requiring manual research before outreach.","### 1. UGC Platforms
No specific evidence found in search results that Our Place actively posts creator-made UGC content on **TikTok**, **Instagram Reels**, or **YouTube Shorts**. General UGC platforms like Collabstr and Billo support creator content for these formats (TikTok videos, Instagram Reels, YouTube content), but none mention Our Place as a user or partner brand[1][2].

### 2. Creator Volume Estimate
No data available on creators partnered with Our Place in the last 90 days (roughly Jan-Mar 2026). Unable to provide range (1-5, 6-20, 20+); search results discuss UGC platforms generally (e.g., Collabstr with 130,000 brands total, not specific to Our Place) without brand-level creator counts[1][2].

### 3. Attribution Signals
No information on discount codes (unique per creator, generic, or none) or simultaneous campaigns. Search results do not reference Our Place's practices[1][2].

### 4. Contract and IP Signals
No evidence of reposting creator content to feeds, using UGC in paid ads/product pages, or content rights complexity. Platforms like Billo enable UGC videos for ads on TikTok/Instagram/Facebook, but no Our Place examples[1][2].

### 5. Buyer Fit Signals
No estimates for company size (employees, revenue tier, funding stage). Search results lack any mention of Our Place[1][2].

### 6. Urgency Signals
No active job listings for creator ops, influencer management, or partnerships roles. No recent funding rounds or public complaints from founders/marketers. Results focus on UGC platforms without Our Place-specific updates[1][2].",Who actually drove that sale?,"Our Place runs a genuinely impressive creator program across gifting, affiliates, and organic posts.

The hard part is usually knowing which of those actually converted a customer, especially when the same creator touched someone three times across different formats.

Squad pulls that attribution together automatically, so your team stops guessing and starts knowing which creators and formats are worth doubling.

Worth a 15-min look next week?"
Lalo,2026-04-20,4,1,1,1,2,1,attribution,"Lalo runs a selective affiliate/gifting program with per-creator discount codes, but as creator volume grows beyond 1-5 partners the manual tracking of individual affiliate codes will break down fast.","Lalo is a Series A DTC baby brand with a nascent but structured creator affiliate program that is still small enough to manage manually today, making them a future-fit prospect to revisit as their creator volume scales rather than an immediate high-urgency target.","### 1. UGC platforms
No direct evidence in search results of Lalo actively posting creator-made UGC on **TikTok**, **Instagram Reels**, or **YouTube Shorts**.[5] Their collab page focuses on affiliate partnerships and gifting without specifying platforms or UGC reposts.[5]

### 2. Creator volume estimate
**1-5 creators** in the last 90 days (as of April 2026). Reasoning: Lalo's collab page describes a selective ""authentic community"" application process for affiliates and gifting, with no mentions of high-volume campaigns, platforms, or recent partnerships; general UGC agency results discuss volumes for other brands but not Lalo.[5][3]

### 3. Attribution signals
Lalo uses **unique discount codes per creator** via affiliate marketing, as their collab page explicitly offers ""earn affiliate commission,"" which typically involves trackable codes.[5] No evidence of generic site-wide codes or no codes; no signals of multiple creators running simultaneous campaigns, as partnerships appear individualized (affiliate/gifting).[5]

### 4. Contract and IP signals
Lalo **reposts or features** creator content, as their collab page states creators ""be featured in brand campaigns,"" implying usage rights transfer.[5] No evidence of UGC in paid ads, product pages, or content rights complexity; general UGC agencies like Trend and Cohley emphasize full licensing rights, but Lalo-specific info is limited to basic affiliate/gifting without IP details.[3][5]

### 5. Buyer fit signals
**Small-mid company size**: Series A funded ($10.1M raised); revenue tier unknown but DTC baby brand with growth challenges (e.g., built internal fulfillment tools); employee count not specified, but co-founders launching a side Shopify app suggests lean team (bootstrapped development).[1][7]

### 6. Urgency signals
No active job listings for creator ops, influencer management, or partnerships roles mentioned.[1-7] No recent funding rounds (last known: Series A, date unspecified).[7] No public complaints from founders/marketers about creator operations; co-founder focus is on fulfillment tech and past DTC scaling.[1][6]",Creator codes getting hard to track?,"Lalo's per-creator discount codes are a smart way to keep your affiliate program selective. But once you're managing more than a handful of partners, reconciling who drove what in a spreadsheet gets messy fast. Squad gives each creator a tracked link and code dashboard so attribution is automatic, not a manual audit at the end of the month. Worth a 15-min look next week?"
